"name,gender"
"aarav,male"
"abhay,male"
"abhishek,male"
"aditya,male"
"ajay,male"
"akash,male"
"aman,male"
"anil,male"
"ankit,male"
"arjun,male"
"arvind,male"
"ashok,male"
"avinash,male"
"deepak,male"
"dhruv,male"
"ganesh,male"
"girish,male"
"harsh,male"
"ishaan,male"
"karthik,male"
"manoj,male"
"mayank,male"
"naveen,male"
"niraj,male"
"omkar,male"
"pradeep,male"
"prakash,male"
"rahul,male"
"raj,male"
"rajesh,male"
"rakesh,male"
"ravi,male"
"rohit,male"
"sachin,male"
"sandeep,male"
"sanjay,male"
"saurabh,male"
"shiva,male"
"shyam,male"
"sumit,male"
"sunil,male"
"suraj,male"
"tarun,male"
"uday,male"
"vijay,male"
"vinay,male"
"vivek,male"
"aarti,female"
"aarohi,female"
"ananya,female"
"anita,female"
"ankita,female"
"anushka,female"
"asha,female"
"bhavana,female"
"chitra,female"
"deepa,female"
"divya,female"
"geeta,female"
"isha,female"
"jyoti,female"
"kanika,female"
"kavya,female"
"kirti,female"
"lakshmi,female"
"latha,female"
"madhu,female"
"meena,female"
"meenakshi,female"
"mira,female"
"neha,female"
"nidhi,female"
"nikita,female"
"nisha,female"
"pallavi,female"
"pooja,female"
"priya,female"
"radhika,female"
"rekha,female"
"ritu,female"
"sandhya,female"
"sarita,female"
"seema,female"
"shruti,female"
"sneha,female"
"sonali,female"
"sruthi,female"
"sudha,female"
"sunita,female"
"sushma,female"
"swati,female"
"tanu,female"
"trisha,female"
"usha,female"
"vaishnavi,female"
"jayashri,female"
"anshidha,female"
"harini,female"
"lipsa,female"
"sangeetha,female"
"krithika,female"
